Review,Sentiment,ReviewType,counter_value,frag_count
The USB cable of the charger is faulty and the cap of the tip is loose.,1,2,1,0
I almost ended up getting an electric shock while removing it from charging.,1,4,1,1
And very very good performance,4,0,5,0
"brilliant camera, huge battery life",3,0,7,0
brilliant display in addition with the premium feeling of samsung.,3,0,7,1
Battery :- 5/5,4,0,9,0
2.Display:- 4.99/5,4,0,9,2
Superb Display,3,0,9,3
"It has a6000Mah battery,  still looking not bulky.",2,0,9,4
"glass body,  but who cares after you put a back cover..",2,4,9,5
Camera: 3/5,2,0,9,7
Back camera pretty good but front camera's low light output is very low..  many features available such as slow and super slow videos available..,2,0,9,8
OS&amp;UI:- 5/5,4,0,9,9
6.Finger print reader and face lock 3/5,2,0,9,11
finger print reader are not so fast,1,0,9,12
7.Processor and performance 3.5/5,2,0,9,13
But for me its perfect as I am not a heavy gamer..  No lag ang hang till now..  but processor is outdated..,3,0,9,14
Charging :2.5/5.,2,0,9,15
No fast charging..,1,0,9,16
Please add a screen guard as soon as possible.....because my phone got little scratches ....as I had kept my bike keys and phone in same pocket....I am repenting on not applying screen guard on my phone early...,1,3,25,8
PREVIOUS ONE WAS Nonsence What A Nonsence Battery It Comes to 90% Cahrge After a full charge only if u do something in10 minutes.... What nonsence is this.,0,0,27,0
Light weight because of the plastic body.,2,0,29,0
Performance is pretty good.,3,0,29,1
But it doesn't feel like a 6000 mAh battery.,1,0,29,2
It Drains relatively quickly than what is expected of a 6000 mAh capacity.,1,0,29,3
Probably not good for high performance gaming.,1,0,29,4
"Defective product received, it gets 8 to 12 hours in charging and Amazon is not exchanging the product",1,2,33,0
"This phone's video,photo quality and audio quality is very poor",0,0,35,0
Heating problem.,1,2,37,0
In simple browising only phone gets heated up in upper side.,1,2,37,1
Heating problems,1,2,41,0
"I like the camera quality, screen sensitivity,  and browsing experience.",3,0,43,0
The speed is excellent.,4,0,43,1
I don't like it's sound.,1,0,43,2
"The speaker is not the best, sometimes when I put on loud speaker the person I am speaking to will complain they cannot hear me.",1,2,43,3
Plus when I play music the sound is not the best.,1,0,43,4
the phone does not come with original earphones so you have to hustle for that.,1,4,43,5
Lastly it will take 3 hours to charge and still the battery will only last for 24hours.,1,2,43,6
Apps are not downloading.,1,2,45,0
during call sound quality not clear,1,0,49,1
a lot of heating problem,0,2,49,2
camera quality not good,1,0,49,3
"After 5 hrs continuously  charging gallery level reach 55 %,during call sound quality not clear,a lot of heating problem,camera quality not good,network issue,slow processing",0,0,49,4
display good,3,0,53,0
battery  performance  after one  week  of use has improved,3,0,53,1
"Display good, battery  performance  after one  week  of use has improved,camera is good,hope Samsung  provides  regular  updates..Excellent  phone  keep good  work  up Samsung 👌",4,0,53,2
monster battery,4,0,55,0
one of the best display at this price segment,4,0,55,1
great finger print sensor,3,0,55,2
decent camera etc.,2,0,55,3
The only good point is amazing Samsung one UI 2.0 and sAMOLED display,2,0,57,0
Super Slow Camera: It is taking 2-4 sec to capture the photo with 48 MP camera,2,2,57,1
Heating issue: Many time with normal using I observed some heating on the top of the backside,1,2,57,2
Poor Network Antenna: I was using MOTOROLA in the same area and receiving a better signal (latency few milliseconds) as compared to Galaxy M21 (Latency and signal strength are quite low in same ISP).,1,0,57,3
big battery but worst performance: battery backup is not satisfactory,1,0,57,4
only a little better than 3400 mah with snapdragon soc based phone.,2,0,57,5
it is taking a huge amount of time for charging.,1,2,57,6
nice rear camera and nice selfie camera but front camera struggles at night,3,0,59,0
sound is superb,4,0,59,1
display is awesome,4,0,59,2
"Nice rear camera and nice selfie camera but front camera struggles at night , sound is superb, display is awesome, battery ok, fingerprint reader superfast, I would suggest 6GB variant.",3,0,59,3
The camera quality is excellent.,4,0,61,0
The UI is user friendly.,3,0,61,1
One UI 2.0 - I would say Samsung's UI is the best experience you can ever feel in any budget phone.,4,0,65,0
Screen - none other brand offers this quality of screen in their phone of same budget.,4,0,65,1
"A user's first priority is screen because 24/7 he/she just need to see on the screen, no metter whatever thing is he using in his phone.",2,4,65,2
Camera- daylight shots are amazing as all the Samsung's phone do.,4,0,65,3
Color contrast is and image processing is better then redmi note 9 pro and realme 6 which is rs1300 more.,3,0,65,4
Battery- after 2hrs pubg and regular social media usage you can enjoy this phone from morning 7am to evening 12pm.,2,0,65,5
Charging speed is very slow.,1,0,65,6
it took 2hrs30 mins to fully charge.,2,0,65,7
Performance- No doubt Exynos 9611 is not as good as sd720g or helioG90t.,2,0,65,8
But in daily task you will not face any lag on this phone.,3,0,65,9
for pubg gamer you will notice lag in high resolution gaming,1,2,65,10
if you want to play without lag then obviously you have to play in smooth ultra it will give you a best performance without any issue.,2,4,65,11
"amazing phonem not satisfied with camera quality, its 48mp",2,0,67,0
I used samsung galaxy S8 its only 12MP single camera which is good for m21 tripple camera.,2,0,67,1
Camera is pathetic.,0,0,69,0
Heating issue.,1,2,69,1
Battery is huge and performance is zero.,1,0,69,2
Lagging issue started just after 15 days.,1,2,69,3
battery life are excellent.,3,0,71,1
Fingerprint reader is very fast.,3,0,71,2
elegant designwonderful display.,3,0,71,3
The user interface is also very good.,3,0,71,4
only difficulties i faced was to find app lock,2,0,71,5
split screen.,2,4,71,6
But these purposes were fulfilled by external apps from the play store.,2,4,71,7
The phone is taking 10hrs to charge.,1,2,75,0
Lots of heating issues.,1,2,75,1
For the price you getting a quality phone with massive battery life.,3,0,77,0
Excellent display,4,0,77,1
Excellent battery,4,0,77,2
Best camera,4,0,77,3
Speaker quality is not good.,1,0,77,4
it's louddistorted at high volume with no bass at all,1,0,77,5
Headphone quality is ok. Not the best.,2,0,77,6
"Charging speed is ok, not fast nor slow.",2,0,77,7
It took 2hrs to fully charge.,2,0,77,8
